,g0,g1,g2,g5,h0
2016-01-01 00:00:00,0.6411191576734879,1.2517842705704807,1.4549363260072332,1.2523575096443982,32.02334671160287
2016-01-01 01:00:00,0.5646632421348108,1.2938778969627627,1.0783412933009187,1.3355218755192215,23.06697057143349
2016-01-01 02:00:00,0.4931192988234788,1.273833312966438,0.8204627332515857,1.3104094983727061,18.46586791571061
2016-01-01 03:00:00,0.4533963929849483,1.227730769774891,0.7294467708812329,1.2106122593229183,16.847492538141122
2016-01-01 04:00:00,0.4470962546933534,1.2222185091759017,0.7155965157379184,1.2931243556614687,15.868273005890215
2016-01-01 05:00:00,0.47026794976582953,1.3490005029526557,0.6566779700488978,1.4411895403954678,15.823204324489547
2016-01-01 06:00:00,0.5288912704791449,1.435192214136852,1.1034036597507257,1.6985098724552152,16.78193809246742
2016-01-01 07:00:00,0.5475781213440449,1.4121409425410785,1.18210828421591,1.8723397038720027,20.481667120176915
2016-01-01 08:00:00,0.5255810283259339,1.4807936427284911,1.0339325387144178,1.806460480708417,36.272094221829605
2016-01-01 09:00:00,0.5916790893852093,1.5238894983205893,1.911555055097143,1.8367910141451176,56.74556703629732
2016-01-01 10:00:00,0.7049747966289752,1.5073527165236213,2.8865690481225403,2.070303508130896,71.360111268678
2016-01-01 11:00:00,0.7773729959798454,1.5805154481102068,3.253051196121038,2.283269511724071,83.08206558570663
2016-01-01 12:00:00,0.8307639984509886,1.564479780913147,3.2172164090042084,2.3347988050896475,84.6881495047123
2016-01-01 13:00:00,0.85511029557783,1.4452145061350148,3.29196381771416,2.1224850710327456,70.88893869039828
2016-01-01 14:00:00,0.7953123728101495,1.4707713507303286,3.4034253948198816,1.8831021512205095,55.77044465690101
2016-01-01 15:00:00,0.7062561806882824,1.582018791909931,3.2662419153051467,1.852771617783809,47.772802284709506
2016-01-01 16:00:00,0.6662129288349252,1.6196023869030398,3.388036222438421,1.937566657499315,43.71662095864926
2016-01-01 17:00:00,0.8434710570391206,1.5945466569076339,3.895878911026621,2.232392487894767,51.50121138240124
2016-01-01 18:00:00,0.981860535444324,1.742375463880529,4.238617764493723,2.3935030633542285,64.0835677988972
2016-01-01 19:00:00,1.0039644104673773,1.691261774689901,4.393608714907004,2.0432343223755614,72.22870767385453
2016-01-01 20:00:00,0.9528158301000221,1.6085778657050613,4.331612334741692,1.7744992734310339,65.60361150795613
2016-01-01 21:00:00,0.8362098807030451,1.4948248515259186,3.7787013556077853,1.6111057545946166,55.53280979133385
2016-01-01 22:00:00,0.7487554186553126,1.4146465155406194,2.558339985757959,1.34041389704127,47.01892615946194
2016-01-01 23:00:00,0.6589517524988497,1.3660383993495318,1.646201754176815,1.1819123997269008,34.67830176138776
2016-01-02 00:00:00,0.7912546566223426,1.2557931873697457,1.582446611453621,3.281894171758224,27.467312737280665
2016-01-02 01:00:00,0.7833527882566135,1.2923745531630384,1.0482224844972028,6.038059097280309,21.66164714230353
2016-01-02 02:00:00,0.6929084300704967,1.273833312966438,0.7547289826507754,6.38898010779525,17.249013517892543
2016-01-02 03:00:00,0.6819098835614413,1.227730769774891,0.7010867246353985,6.483559190554853,16.26569683278703
2016-01-02 04:00:00,0.705295142643802,1.2222185091759017,0.6874563148118189,7.554585769115322,15.757649878815844
2016-01-02 05:00:00,0.7545216469221961,1.35050384675238,0.6261194706057117,8.249578960014336,16.421388641262066
2016-01-02 06:00:00,0.8544696035481762,1.4306821827376792,1.3401770691054842,8.207507574924719,21.755881657959474
2016-01-02 07:00:00,1.2617361703980567,1.501840455924632,1.5426546085815587,7.747331417084031,33.576167643498664
2016-01-02 08:00:00,1.8110228038211784,2.0129773478309128,1.640046085224231,6.166556195926114,49.04701682249207
2016-01-02 09:00:00,2.067619961697493,2.5927669399246067,2.5156899937293398,5.051175288899073,58.06894740833514
2016-01-02 10:00:00,2.1764308247336825,2.9019546480679157,3.53093568026627,4.517618808227658,60.58459926106342
2016-01-02 11:00:00,2.2148723465129057,2.7756737688910698,3.8769722135293985,4.0072178960939375,63.5017720935431
2016-01-02 12:00:00,2.1061682654816583,2.490038446943442,3.7982675890642144,4.088751588128078,68.25856655774103
2016-01-02 13:00:00,1.841776021244557,2.0074650872319237,3.98073920444439,3.235583034682832,67.93079432937253
2016-01-02 14:00:00,1.3795167218493987,1.7067963272870526,3.9218206587553697,2.2897922070868018,62.87081055393373
2016-01-02 15:00:00,1.0212630952680277,1.7158163900853987,3.9824979670022707,2.055953578332887,58.91705804923865
2016-01-02 16:00:00,0.8929111253273994,1.640148085499273,4.317542234278642,2.0354070879402837,59.293996111862434
2016-01-02 17:00:00,0.9742790130934218,1.6652038154946787,4.879247026201955,2.339038557075423,73.94951187278919
2016-01-02 18:00:00,1.0353583199204095,1.7113063586862256,5.1263531655842645,2.441118739502167,85.7984779283106
2016-01-02 19:00:00,1.0346108458858134,1.7118074732861337,4.973560668368335,2.1606428389047236,86.08937578098767
2016-01-02 20:00:00,0.9997999122746282,1.6015622613063478,4.823186469669491,1.8860373641337382,70.45464048781
2016-01-02 21:00:00,0.9114911941873572,1.3790673789471428,4.1638703557837715,1.6698100128591977,54.93872262741593
2016-01-02 22:00:00,0.8217943100358366,1.3810718373467754,2.775107471016818,1.40205336821908,50.19012246892722
2016-01-02 23:00:00,0.7323109898942006,1.3790673789471428,1.8684653724290534,1.2849709864580543,42.573515312214106
2016-01-03 00:00:00,0.6411191576734879,1.2517842705704807,1.4549363260072332,1.2523575096443982,32.02334671160287
