,efh,mfh,ghd,efh_water,efh_heat,mfh_water,mfh_heat,ghd_water,ghd_heat,total_water,total_heat
2016-06-10 23:00:00,0.0,34.38992122931264,0.4146964472537159,0.0,0.0,32.46020135018103,1.9297198791316106,0.4146964472537159,0.0,32.87489779743475,1.9297198791316106
2016-06-11 00:00:00,0.0,27.264886403776366,0.49068947699746945,0.0,0.0,27.264886403776366,0.0,0.49068947699746945,0.0,27.755575880773836,0.0
2016-06-11 01:00:00,0.0,26.666972228254952,0.4708636395430263,0.0,0.0,26.666972228254952,0.0,0.4708636395430263,0.0,27.13783586779798,0.0
2016-06-11 02:00:00,0.0,25.112395371899286,0.5336454581487631,0.0,0.0,25.112395371899286,0.0,0.5253872545235809,0.008258203625182148,25.637782626422865,0.008258203625182148
2016-06-11 03:00:00,0.0,26.666972228254952,0.6625134016026439,0.0,0.0,26.666972228254952,0.0,0.5253872545235809,0.137126147079063,27.19235948277853,0.137126147079063
2016-06-11 04:00:00,0.0,45.08272883431442,0.7715555076020817,0.0,0.0,32.46020135018103,12.622527484133393,0.5253872545235809,0.24616825307850076,32.98558860470461,12.868695737211894
2016-06-11 05:00:00,0.0,67.08597049350237,1.0672909162975261,0.0,0.0,32.46020135018103,34.62576914332134,0.5253872545235809,0.5419036617739452,32.98558860470461,35.167672805095286
2016-06-11 06:00:00,0.0,72.58678090829936,1.1366813473880775,0.0,0.0,32.46020135018103,40.12657955811833,0.5253872545235809,0.6112940928644965,32.98558860470461,40.73787365098283
2016-06-11 07:00:00,0.0,66.36847348287668,1.0127698632978075,0.0,0.0,32.46020135018103,33.90827213269565,0.5253872545235809,0.48738260877422657,32.98558860470461,34.395654741469876
2016-06-11 08:00:00,0.0,60.987245903183975,0.9086842166619805,0.0,0.0,32.46020135018103,28.527044553002945,0.5253872545235809,0.3832969621383996,32.98558860470461,28.910341515141344
2016-06-11 09:00:00,0.0,59.671834717036866,0.9004234510559626,0.0,0.0,32.46020135018103,27.211633366855835,0.5253872545235809,0.3750361965323816,32.98558860470461,27.586669563388217
2016-06-11 10:00:00,0.0,55.96476682880412,0.76164258887486,0.0,0.0,32.46020135018103,23.504565478623093,0.5253872545235809,0.2362553343512791,32.98558860470461,23.740820812974373
2016-06-11 11:00:00,0.0,53.69269296182276,0.7401645982992131,0.0,0.0,32.46020135018103,21.232491611641727,0.5253872545235809,0.21477734377563218,32.98558860470461,21.44726895541736
2016-06-11 12:00:00,0.0,53.453527291614186,0.6393832579057935,0.0,0.0,32.46020135018103,20.993325941433156,0.5253872545235809,0.11399600338221261,32.98558860470461,21.107321944815368
2016-06-11 13:00:00,0.0,48.6702138874429,0.6757306265722728,0.0,0.0,32.46020135018103,16.210012537261868,0.5253872545235809,0.15034337204869186,32.98558860470461,16.36035590931056
2016-06-11 14:00:00,0.0,47.9527168768172,0.6327746454209792,0.0,0.0,32.46020135018103,15.492515526636168,0.5253872545235809,0.10738739089739824,32.98558860470461,15.599902917533568
2016-06-11 15:00:00,0.0,45.919808680044405,0.6063401954817216,0.0,0.0,32.46020135018103,13.459607329863374,0.5253872545235809,0.08095294095814065,32.98558860470461,13.540560270821516
2016-06-11 16:00:00,0.0,46.756888525774386,0.5782535924212604,0.0,0.0,32.46020135018103,14.296687175593355,0.5253872545235809,0.05286633789767947,32.98558860470461,14.349553513491035
2016-06-11 17:00:00,0.0,49.148545227860026,0.574949286178853,0.0,0.0,32.46020135018103,16.688343877678996,0.5253872545235809,0.049562031655272065,32.98558860470461,16.737905909334266
2016-06-11 18:00:00,0.0,53.333944456509904,0.612948807966536,0.0,0.0,32.46020135018103,20.873743106328874,0.5253872545235809,0.08756155344295502,32.98558860470461,20.96130465977183
2016-06-11 19:00:00,0.0,56.92142950963838,0.5980794298757035,0.0,0.0,32.46020135018103,24.46122815945735,0.5253872545235809,0.07269217535212258,32.98558860470461,24.533920334809473
2016-06-11 20:00:00,0.0,60.150166057453994,0.6327746454209792,0.0,0.0,32.46020135018103,27.689964707272964,0.5253872545235809,0.10738739089739824,32.98558860470461,27.79735209817036
2016-06-11 21:00:00,0.0,58.954337706411174,0.5683406736940387,0.0,0.0,32.46020135018103,26.494136356230143,0.5253872545235809,0.04295341917045781,32.98558860470461,26.537089775400602
2016-06-11 22:00:00,0.0,49.86604223848572,0.4626028739370082,0.0,0.0,32.46020135018103,17.405840888304688,0.4626028739370082,0.0,32.92280422411804,17.405840888304688
2016-06-11 23:00:00,0.0,37.66859305784892,0.48242871139145144,0.0,0.0,32.46020135018103,5.208391707667893,0.48242871139145144,0.0,32.94263006157248,5.208391707667893
